ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	SIGNAL_NAME	NUM_REQUIRED	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	TIMER_AMOUNT	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	b	s	s	s	s	f	f	f	i	i	i
quest.task.ground.wait_for_signal	@quest/ground/third_character_slot:task00_journal_entry_title	@quest/ground/third_character_slot:task00_journal_entry_description	1			0	1		locateDungeon	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		foundDungeon	1	0			0		0	0	0	0		
quest.task.ground.wait_for_signal	@quest/ground/third_character_slot:task01_journal_entry_title	@quest/ground/third_character_slot:task01_journal_entry_description	1			0	2,3		enterBunker	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		enteredBunker	1	0			0		0	0	0	0		
quest.task.ground.timer	@quest/ground/third_character_slot:task02_journal_entry_title		1			0			findDNA	0				0	clear	none				1		1	timeRanOut		0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0													300	300
quest.task.ground.wait_for_signal	@quest/ground/third_character_slot:task03_journal_entry_title	@quest/ground/third_character_slot:task03_journal_entry_description	1			0	4		stageOneTerminal	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		accessKeypad	1	0			0		0	0	0	0		
quest.task.ground.wait_for_signal	@quest/ground/third_character_slot:task04_journal_entry_title	@quest/ground/third_character_slot:task04_journal_entry_description	1			0	5		stageOneTerminalStart	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		correctCode	1	0			0		0	0	0	0		
quest.task.ground.wait_for_signal	@quest/ground/third_character_slot:task05_journal_entry_title		1			0	6		stageOneTerminalComplete	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		searchCorpse	1	0			0		0	0	0	0		
quest.task.ground.wait_for_signal	@quest/ground/third_character_slot:task06_journal_entry_title	@quest/ground/third_character_slot:task06_journal_entry_description	1			0	7		stageTwoTerminalStart	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		rebootReactor	1	0			0		0	0	0	0		
quest.task.ground.wait_for_signal	@quest/ground/third_character_slot:task07_journal_entry_title		1			0	8		stageTwoTerminalComplete	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		fixWater	1	0			0		0	0	0	0		
quest.task.ground.wait_for_signal	@quest/ground/third_character_slot:task08_journal_entry_title		1			0	9		stageThreeTerminalStart	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		waterFixed	1	0			0		0	0	0	0		
quest.task.ground.wait_for_signal	@quest/ground/third_character_slot:task09_journal_entry_title	@quest/ground/third_character_slot:task09_journal_entry_description	1			0	10		stageThreeTerminalComplete	0				0	complete	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0		dnaLooted	1	0			0		0	0	0	0		
quest.task.ground.clear_quest			1			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0														
